Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
-0.001,-0.021,0.998,0.001,-0.151,-0.064,0.12,-1.11,54.92,1,-7,-6
-0.003,-0.021,0.998,-0.074,-0.027,0.027,0.12,-1.11,54.92,0,-7,-6
-0.004,-0.02,0.996,-0.057,0.049,0.012,0.12,-1.11,54.92,0,-6,-5
-0.005,-0.019,0.999,-0.06,-0.103,0.012,0.12,-1.11,54.92,0,-6,-5
-0.003,-0.017,0.998,0.111,0.077,-0.034,0.12,-1.11,54.92,0,-7,-6
-0.003,-0.017,0.998,0.094,-0.029,0.027,0.12,-1.11,54.92,0,-6,-5
-0.002,-0.021,0.999,0.049,0.017,0.012,0.12,-1.11,54.92,0,-7,-6
-0.002,-0.019,1.002,-0.073,0.004,-0.019,0.12,-1.11,54.92,0,-7,-6
-0.005,-0.016,0.997,-0.056,0.126,-0.004,0.12,-1.11,54.92,0,-6,-6
-0.002,-0.02,0.999,0.004,0.033,-0.019,0.12,-1.11,54.92,0,-6,-6
-0.003,-0.017,0.996,-0.056,0.095,0.027,0.12,-1.11,54.92,1,-6,-5
-0.001,-0.021,1.001,0.019,0.063,-0.049,0.12,-1.11,54.92,1,-7,-5
-0.001,-0.021,1.001,0.111,0.031,-0.019,0.12,-1.11,54.92,0,-7,-5
-0.002,-0.02,0.999,0.018,-0.013,-0.018,0.12,-1.11,54.92,0,-6,-6
-0.004,-0.018,0.999,0.032,-0.09,0.012,0.12,-1.11,54.92,0,-7,-6
-0.003,-0.019,0.998,0.003,0.018,0.027,0.12,-1.11,54.92,0,-7,-5
-0.004,-0.019,1.001,-0.028,-0.012,0.027,0.12,-1.11,54.92,0,-6,-6
-0.003,-0.021,1.0,-0.058,-0.012,-0.064,0.12,-1.11,54.92,0,-6,-5
-0.004,-0.019,0.999,-0.104,-0.027,-0.034,0.12,-1.11,54.92,0,-6,-6
0.0,-0.021,0.999,0.002,-0.074,-0.003,0.13,-1.12,54.92,0,-7,-6
-0.003,-0.018,0.999,0.004,0.048,-0.003,0.13,-1.12,54.92,1,-7,-6
-0.004,-0.021,1.0,0.109,-0.045,-0.049,0.12,-1.12,54.92,0,-7,-6
-0.003,-0.02,0.999,0.111,0.031,-0.08,0.12,-1.12,54.92,0,-7,-6
-0.003,-0.021,1.001,0.004,0.033,-0.003,0.12,-1.12,54.92,0,-6,-6
-0.004,-0.02,1.0,-0.042,0.034,0.012,0.12,-1.12,54.92,0,-7,-6
-0.001,-0.02,0.996,0.064,-0.029,-0.003,0.12,-1.12,54.92,0,-6,-6
-0.001,-0.016,1.0,0.049,-0.013,0.012,0.12,-1.12,54.92,0,-7,-6
-0.001,-0.022,1.0,0.033,-0.044,-0.018,0.12,-1.12,54.92,0,-7,-6
-0.002,-0.018,0.998,-0.013,-0.043,-0.003,0.12,-1.12,54.92,0,-6,-6
-0.005,-0.022,0.999,0.078,-0.075,-0.003,0.12,-1.12,54.92,0,-6,-6
-0.001,-0.02,0.997,-0.058,0.003,-0.049,0.12,-1.12,54.92,0,-6,-5
-0.002,-0.019,0.998,0.065,0.032,-0.034,0.12,-1.12,54.92,0,-6,-6
-0.001,-0.02,0.999,-0.013,-0.043,-0.034,0.12,-1.12,54.92,0,-6,-6
-0.001,-0.022,0.999,-0.043,-0.042,0.043,0.12,-1.12,54.92,0,-7,-6
-0.004,-0.02,0.998,0.017,-0.104,0.074,0.12,-1.12,54.92,0,-7,-6
-0.002,-0.02,0.998,-0.028,-0.013,-0.095,0.12,-1.12,54.92,0,-6,-6
-0.002,-0.02,1.001,0.095,0.032,-0.003,0.12,-1.12,54.92,0,-6,-6
-0.004,-0.02,0.998,0.02,0.094,0.042,0.12,-1.12,54.92,0,-7,-6
-0.002,-0.019,0.999,-0.027,0.034,0.027,0.12,-1.11,54.92,0,-6,-6
-0.005,-0.025,0.997,0.003,-0.028,-0.003,0.12,-1.11,54.92,0,-6,-6
-0.002,-0.02,1.0,0.02,0.094,0.042,0.12,-1.11,54.92,0,-6,-6
-0.002,-0.019,0.998,0.003,0.002,-0.08,0.13,-1.11,54.92,0,-7,-6
-0.004,-0.02,0.996,-0.072,0.08,0.103,0.12,-1.11,54.92,0,-7,-6
-0.004,-0.018,1.0,0.003,-0.013,0.058,0.12,-1.11,54.92,0,-7,-6
-0.003,-0.018,1.001,0.096,0.047,0.027,0.13,-1.11,54.92,0,-7,-6
-0.0,-0.018,0.999,-0.058,0.003,-0.019,0.13,-1.11,54.92,0,-6,-6
-0.003,-0.019,0.998,-0.012,-0.013,-0.064,0.12,-1.11,54.92,0,-6,-6
-0.003,-0.022,1.0,0.02,0.109,0.057,0.12,-1.11,54.92,0,-6,-6
-0.003,-0.02,1.0,-0.012,-0.012,0.027,0.12,-1.11,54.92,1,-6,-6
-0.001,-0.019,1.0,-0.028,-0.012,0.043,0.12,-1.11,54.92,1,-6,-6
-0.004,-0.02,0.998,-0.012,0.033,-0.095,0.12,-1.11,54.92,1,-7,-6
-0.003,-0.018,0.998,-0.074,-0.027,0.012,0.12,-1.11,54.92,1,-6,-5
-0.002,-0.021,1.0,-0.013,-0.074,-0.033,0.12,-1.11,54.92,1,-6,-5
-0.002,-0.02,0.999,0.049,0.017,0.012,0.12,-1.12,54.92,0,-7,-6
