Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
-0.003,0.104,0.993,-0.019,0.013,0.01,0.22,6.0,-6.11,51,-44,-8
-0.006,0.102,0.994,-0.036,-0.063,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.005,0.104,0.994,0.058,0.043,0.025,0.22,6.0,-6.11,52,-44,-8
-0.003,0.103,0.993,0.026,-0.018,0.01,0.22,6.0,-6.11,51,-44,-8
-0.006,0.105,0.995,-0.035,-0.002,0.01,0.22,6.0,-6.11,52,-44,-8
-0.005,0.104,0.991,-0.005,-0.063,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.004,0.104,0.992,-0.02,-0.048,-0.051,0.22,6.0,-6.11,52,-44,-8
-0.004,0.106,0.994,-0.005,-0.033,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.003,0.104,0.993,0.027,0.028,-0.005,0.22,6.0,-6.11,52,-43,-8
-0.003,0.105,0.99,-0.006,-0.094,0.01,0.22,6.0,-6.11,52,-44,-8
-0.004,0.103,0.99,-0.021,-0.078,-0.02,0.22,6.0,-6.11,52,-44,-8
-0.005,0.104,0.992,0.041,-0.064,0.025,0.22,6.0,-6.11,52,-44,-8
-0.003,0.105,0.993,-0.005,-0.063,-0.02,0.22,6.0,-6.11,52,-44,-8
-0.004,0.105,0.994,-0.004,-0.002,-0.021,0.22,6.0,-6.11,52,-44,-8
-0.005,0.104,0.993,0.117,-0.065,0.01,0.22,6.0,-6.11,52,-44,-8
-0.003,0.107,0.991,-0.05,0.014,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.004,0.105,0.993,0.027,0.012,-0.036,0.22,6.0,-6.11,52,-44,-8
-0.006,0.105,0.992,0.011,-0.002,0.025,0.22,6.0,-6.11,52,-44,-8
-0.001,0.104,0.995,-0.004,-0.017,0.025,0.22,6.0,-6.11,52,-44,-8
-0.005,0.103,0.992,-0.004,0.028,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.003,0.107,0.992,-0.081,-0.016,-0.021,0.22,6.0,-6.11,52,-44,-8
-0.003,0.103,0.993,-0.004,0.028,0.04,0.22,6.0,-6.11,52,-44,-8
-0.003,0.106,0.992,-0.019,0.013,0.01,0.22,6.0,-6.11,52,-43,-8
-0.004,0.104,0.991,0.041,-0.018,-0.051,0.22,6.0,-6.11,52,-44,-8
-0.003,0.104,0.994,-0.006,-0.094,-0.081,0.22,6.0,-6.11,52,-44,-8
-0.003,0.106,0.994,-0.004,-0.002,0.04,0.22,5.99,-6.11,51,-44,-8
-0.004,0.104,0.994,-0.065,-0.001,0.01,0.22,5.99,-6.11,52,-44,-8
-0.003,0.102,0.996,0.041,-0.049,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.004,0.105,0.994,-0.004,-0.002,-0.036,0.22,6.0,-6.11,52,-44,-8
-0.001,0.104,0.994,0.026,-0.003,-0.005,0.22,6.0,-6.11,51,-44,-8
-0.002,0.104,0.993,-0.033,0.09,-0.021,0.22,6.0,-6.11,52,-44,-8
-0.005,0.103,0.993,-0.036,-0.093,-0.005,0.22,6.0,-6.11,52,-44,-8
-0.003,0.104,0.993,0.011,-0.002,0.056,0.22,6.0,-6.11,51,-44,-8
-0.003,0.103,0.992,0.057,0.028,0.056,0.22,6.0,-6.11,52,-44,-8
-0.001,0.105,0.994,-0.035,-0.017,-0.036,0.22,6.0,-6.11,52,-44,-8
-0.005,0.103,0.993,0.041,-0.018,-0.036,0.22,6.0,-6.11,51,-44,-8
-0.004,0.106,0.994,-0.02,-0.048,0.025,0.22,5.99,-6.11,51,-44,-8
-0.005,0.103,0.993,0.056,-0.049,0.01,0.22,6.0,-6.11,52,-44,-8
-0.005,0.105,0.993,-0.004,-0.002,-0.005,0.22,5.99,-6.11,52,-44,-8
-0.003,0.105,0.992,-0.035,-0.048,-0.02,0.22,5.99,-6.11,52,-44,-8
-0.006,0.105,0.995,0.027,0.043,-0.067,0.22,5.99,-6.11,52,-44,-8
-0.005,0.104,0.994,0.041,-0.033,0.056,0.21,5.99,-6.11,51,-44,-8
-0.003,0.103,0.995,0.026,-0.003,0.041,0.21,5.99,-6.11,52,-44,-8
-0.005,0.106,0.992,-0.018,0.075,0.04,0.21,6.0,-6.11,52,-44,-8
-0.006,0.102,0.993,-0.063,0.167,0.024,0.21,6.0,-6.11,52,-44,-8
-0.002,0.103,0.995,0.01,-0.079,-0.02,0.21,6.0,-6.11,52,-44,-8
-0.004,0.106,0.993,-0.064,0.075,-0.036,0.21,5.99,-6.11,51,-44,-8
-0.003,0.105,0.992,0.026,-0.018,0.056,0.21,5.99,-6.11,52,-44,-8
-0.005,0.104,0.993,-0.019,0.029,0.025,0.21,5.99,-6.11,52,-43,-8
-0.002,0.103,0.992,0.088,0.057,0.01,0.21,5.99,-6.11,52,-43,-8
-0.002,0.105,0.994,-0.02,-0.048,-0.005,0.21,5.99,-6.11,52,-44,-8
-0.004,0.104,0.996,0.086,-0.11,0.026,0.21,5.99,-6.11,52,-44,-8
-0.003,0.105,0.993,-0.081,-0.001,-0.036,0.21,6.0,-6.11,52,-44,-8
-0.002,0.106,0.993,-0.065,0.014,0.04,0.21,5.99,-6.11,52,-44,-8
-0.003,0.101,0.991,-0.019,0.013,-0.005,0.21,5.99,-6.11,52,-44,-8
-0.004,0.105,0.995,0.043,0.104,0.04,0.21,5.99,-6.11,52,-44,-8
-0.003,0.106,0.994,-0.004,0.013,-0.021,0.21,5.99,-6.11,52,-44,-8
-0.002,0.102,0.992,-0.035,-0.017,0.056,0.21,5.99,-6.11,52,-44,-8
-0.005,0.103,0.992,0.074,0.088,-0.021,0.21,5.99,-6.11,52,-44,-8
-0.004,0.104,0.993,0.04,-0.079,-0.036,0.21,5.99,-6.11,52,-44,-8
