Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
-0.031,-0.004,1.005,-2.007,-2.03,0.493,1.54,-0.52,172.04,-10,-45,-7
-0.029,0.002,1.013,-2.846,-1.925,0.645,1.53,-0.54,172.04,-10,-45,-7
-0.031,0.01,1.002,-3.163,-1.722,0.537,1.51,-0.56,172.05,-10,-45,-7
-0.026,0.007,1.01,-2.848,-1.086,0.26,1.5,-0.58,172.05,-10,-45,-6
-0.028,-0.004,0.998,-2.464,-0.987,-0.123,1.49,-0.6,172.05,-10,-45,-6
-0.028,-0.011,0.997,-1.926,-0.768,-0.353,1.48,-0.61,172.05,-10,-45,-7
-0.028,-0.017,1.002,-1.342,-0.547,-0.308,1.48,-0.63,172.05,-10,-45,-6
-0.03,-0.016,0.996,-0.851,-0.417,-0.094,1.48,-0.65,172.05,-10,-45,-7
-0.031,-0.014,0.993,-0.379,-0.499,0.197,1.47,-0.66,172.05,-10,-45,-7
-0.03,-0.012,0.991,-0.23,-0.73,0.351,1.47,-0.66,172.05,-10,-45,-6
-0.03,-0.015,0.996,-0.463,-0.954,0.611,1.47,-0.67,172.06,-10,-45,-7
-0.029,-0.013,0.998,-0.973,-1.357,0.873,1.46,-0.67,172.07,-10,-45,-7
-0.028,-0.01,0.997,-1.324,-1.304,1.224,1.45,-0.68,172.08,-10,-45,-6
-0.03,-0.0,1.002,-1.632,-1.466,1.499,1.44,-0.69,172.09,-10,-45,-6
-0.028,-0.002,1.0,-1.892,-1.461,1.683,1.43,-0.7,172.11,-10,-45,-7
-0.028,-0.008,0.997,-2.03,-1.52,1.775,1.41,-0.71,172.13,-10,-45,-6
-0.028,-0.011,0.993,-2.044,-1.442,2.034,1.4,-0.73,172.15,-10,-45,-6
-0.029,0.001,0.999,-1.969,-1.488,2.371,1.39,-0.74,172.17,-10,-45,-7
-0.035,0.004,0.999,-2.003,-1.717,2.265,1.38,-0.75,172.19,-10,-45,-7
-0.03,0.008,0.997,-2.081,-1.823,2.005,1.37,-0.75,172.21,-10,-44,-6
-0.032,0.002,1.001,-2.327,-1.974,1.715,1.36,-0.75,172.23,-10,-45,-6
-0.028,-0.005,1.0,-2.74,-1.999,1.517,1.35,-0.77,172.25,-10,-45,-6
-0.023,-0.015,0.994,-3.263,-2.205,1.41,1.33,-0.79,172.26,-10,-45,-7
-0.021,-0.023,0.987,-3.969,-2.407,1.579,1.3,-0.83,172.28,-10,-44,-7
-0.015,-0.023,0.982,-4.616,-2.792,1.856,1.27,-0.88,172.3,-10,-44,-6
-0.012,-0.024,0.976,-5.201,-3.088,2.086,1.24,-0.94,172.32,-10,-44,-6
-0.009,-0.026,0.976,-5.498,-3.478,2.5,1.2,-0.99,172.34,-11,-45,-6
-0.008,-0.022,0.988,-5.565,-3.843,2.654,1.16,-1.05,172.37,-10,-44,-6
-0.006,-0.016,0.996,-5.412,-3.86,2.716,1.11,-1.11,172.4,-10,-44,-6
-0.011,-0.014,1.005,-5.194,-3.574,2.546,1.07,-1.16,172.43,-10,-44,-6
-0.007,-0.019,1.005,-4.929,-3.228,2.285,1.03,-1.2,172.45,-10,-44,-6
-0.006,-0.021,1.003,-4.356,-2.735,1.993,0.99,-1.25,172.47,-10,-44,-6
-0.008,-0.024,1.001,-4.137,-2.434,1.762,0.96,-1.29,172.49,-11,-44,-6
-0.007,-0.026,0.997,-3.902,-2.087,1.562,0.92,-1.33,172.51,-10,-44,-6
-0.004,-0.028,1.003,-3.67,-1.847,1.363,0.9,-1.37,172.52,-10,-44,-6
-0.006,-0.032,1.01,-3.775,-1.769,1.332,0.87,-1.42,172.54,-10,-44,-6
-0.006,-0.033,1.01,-3.894,-1.539,1.3,0.85,-1.46,172.55,-10,-44,-6
-0.004,-0.035,1.01,-4.152,-1.459,1.208,0.83,-1.5,172.56,-10,-44,-6
-0.006,-0.036,1.009,-4.3,-1.136,1.115,0.81,-1.55,172.58,-10,-44,-6
-0.002,-0.042,1.005,-4.31,-0.831,0.992,0.8,-1.6,172.59,-10,-44,-6
-0.002,-0.045,1.006,-4.214,-0.528,0.914,0.79,-1.66,172.6,-11,-44,-6
-0.005,-0.045,1.002,-3.95,-0.257,0.806,0.78,-1.71,172.6,-10,-44,-6
-0.004,-0.047,1.003,-3.641,-0.018,0.683,0.77,-1.76,172.61,-10,-44,-6
-0.004,-0.048,1.001,-3.312,0.449,0.421,0.76,-1.8,172.62,-10,-44,-6
-0.008,-0.05,1.003,-2.742,0.79,0.16,0.76,-1.85,172.62,-10,-44,-6
-0.009,-0.05,1.0,-1.972,1.174,-0.025,0.77,-1.88,172.62,-11,-44,-6
-0.011,-0.053,0.992,-1.189,1.405,-0.331,0.78,-1.91,172.62,-11,-44,-6
-0.013,-0.049,0.996,-0.425,1.422,-0.529,0.79,-1.93,172.61,-11,-44,-6
-0.014,-0.046,1.006,0.295,1.548,-0.728,0.81,-1.95,172.61,-10,-44,-6
-0.016,-0.05,1.01,0.754,1.616,-0.958,0.83,-1.95,172.6,-10,-44,-6
-0.017,-0.045,1.02,1.188,1.99,-1.173,0.84,-1.95,172.59,-10,-44,-6
-0.016,-0.038,1.017,1.559,2.258,-1.327,0.87,-1.94,172.57,-10,-44,-6
-0.016,-0.042,1.014,1.839,2.589,-1.481,0.89,-1.93,172.56,-11,-44,-6
-0.016,-0.036,1.011,2.346,2.778,-1.772,0.92,-1.91,172.54,-10,-44,-6
-0.017,-0.036,1.002,2.79,2.832,-1.956,0.94,-1.89,172.52,-10,-44,-6
-0.02,-0.029,0.997,3.509,2.926,-2.154,0.98,-1.85,172.5,-10,-44,-7
-0.024,-0.026,0.998,4.152,3.007,-2.43,1.01,-1.81,172.48,-10,-44,-6
-0.024,-0.029,1.0,4.704,3.104,-2.735,1.04,-1.77,172.45,-10,-44,-6
-0.024,-0.033,0.992,4.891,3.375,-2.889,1.08,-1.72,172.42,-10,-44,-6
-0.027,-0.042,1.002,4.418,3.383,-2.614,1.12,-1.68,172.4,-10,-44,-6
-0.027,-0.042,1.0,3.822,3.363,-2.523,1.15,-1.65,172.37,-10,-44,-6
-0.028,-0.037,1.005,3.424,3.34,-2.248,1.19,-1.62,172.34,-10,-44,-6
-0.027,-0.039,1.002,2.884,2.997,-2.124,1.23,-1.6,172.32,-10,-44,-6
-0.029,-0.032,1.007,2.59,2.758,-2.093,1.26,-1.58,172.3,-10,-44,-6
-0.029,-0.032,1.004,2.417,2.44,-2.076,1.29,-1.56,172.28,-10,-44,-7
-0.028,-0.033,0.998,2.446,2.363,-2.091,1.32,-1.54,172.26,-10,-44,-7
-0.032,-0.031,0.997,2.976,2.033,-2.304,1.35,-1.52,172.24,-10,-44,-6
-0.033,-0.027,0.993,3.585,1.901,-2.471,1.37,-1.49,172.21,-10,-44,-7
-0.03,-0.021,0.988,4.317,1.797,-2.562,1.39,-1.45,172.18,-10,-45,-6
-0.024,-0.019,0.995,5.046,1.572,-2.637,1.41,-1.4,172.16,-10,-45,-7
-0.024,-0.017,1.001,5.485,1.304,-2.789,1.43,-1.34,172.13,-10,-44,-6
-0.023,-0.017,1.001,5.285,1.186,-2.697,1.44,-1.29,172.1,-10,-45,-6
-0.024,-0.015,0.997,4.683,0.813,-2.741,1.45,-1.23,172.07,-10,-45,-6
-0.028,-0.02,0.993,3.745,0.447,-2.556,1.45,-1.19,172.04,-10,-45,-7
-0.028,-0.021,0.993,2.716,0.036,-2.463,1.45,-1.16,172.02,-10,-45,-6
-0.031,-0.025,0.986,1.581,-0.251,-2.34,1.45,-1.14,171.99,-10,-45,-7
-0.031,-0.026,0.981,0.96,-0.851,-2.17,1.45,-1.13,171.97,-10,-45,-7
-0.031,-0.022,0.975,0.543,-1.179,-1.832,1.44,-1.13,171.95,-10,-45,-7
-0.033,-0.016,0.975,0.78,-1.61,-1.739,1.43,-1.12,171.93,-10,-45,-6
-0.031,-0.01,0.984,1.401,-1.956,-1.753,1.42,-1.11,171.92,-10,-45,-6
-0.032,-0.009,0.992,2.038,-2.241,-1.751,1.4,-1.09,171.9,-10,-45,-7
-0.028,-0.007,0.999,2.698,-2.022,-1.737,1.38,-1.05,171.88,-10,-45,-7
