Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.004,0.07,0.997,-0.024,-0.042,0.07,-0.22,3.95,-154.89,-13,-18,-6
0.005,0.071,0.998,0.054,0.017,-0.067,-0.22,3.95,-154.89,-13,-17,-6
0.004,0.071,0.998,0.023,0.033,0.055,-0.21,3.95,-154.89,-13,-17,-6
0.005,0.069,0.996,0.052,-0.089,0.086,-0.21,3.95,-154.89,-13,-17,-5
0.003,0.067,0.997,0.022,-0.028,-0.067,-0.22,3.95,-154.89,-13,-17,-6
0.003,0.069,0.996,-0.051,0.141,-0.007,-0.22,3.95,-154.89,-14,-17,-6
0.004,0.07,0.996,-0.009,-0.058,-0.006,-0.22,3.95,-154.89,-13,-17,-6
0.004,0.068,0.994,0.055,0.078,-0.037,-0.22,3.95,-154.89,-13,-18,-6
0.002,0.07,0.995,0.067,-0.105,0.025,-0.22,3.95,-154.89,-13,-17,-6
0.003,0.067,0.997,-0.053,0.034,-0.052,-0.22,3.95,-154.89,-13,-17,-6
0.003,0.07,0.995,0.064,-0.108,-0.007,-0.22,3.95,-154.89,-13,-17,-5
0.004,0.071,0.999,0.003,-0.108,-0.022,-0.22,3.95,-154.88,-14,-17,-6
0.004,0.068,0.998,-0.011,-0.046,-0.038,-0.22,3.95,-154.88,-14,-17,-5
0.004,0.071,0.995,-0.04,0.061,0.038,-0.22,3.95,-154.88,-13,-17,-6
0.002,0.07,0.998,0.005,-0.016,0.023,-0.22,3.95,-154.88,-14,-17,-6
0.003,0.068,0.995,0.005,-0.016,-0.068,-0.22,3.95,-154.88,-14,-17,-6
0.002,0.071,0.995,-0.055,0.046,-0.023,-0.22,3.95,-154.88,-13,-18,-6
0.006,0.069,0.997,0.018,-0.123,0.009,-0.22,3.95,-154.88,-13,-17,-6
0.005,0.068,0.997,0.005,-0.0,0.039,-0.22,3.95,-154.88,-13,-17,-6
0.003,0.067,0.998,-0.039,0.092,-0.008,-0.22,3.95,-154.88,-13,-17,-6
0.003,0.069,0.998,-0.01,-0.0,-0.038,-0.22,3.95,-154.88,-13,-17,-6
0.004,0.069,0.996,0.003,-0.092,0.009,-0.22,3.95,-154.88,-13,-17,-6
0.004,0.07,0.999,-0.026,0.0,0.023,-0.22,3.95,-154.88,-13,-18,-6
0.003,0.07,0.997,0.036,0.014,0.008,-0.22,3.95,-154.88,-13,-17,-6
0.004,0.066,0.997,-0.011,-0.031,0.039,-0.22,3.95,-154.88,-14,-18,-6
0.002,0.068,0.996,-0.011,-0.062,-0.068,-0.22,3.95,-154.89,-13,-18,-6
