timestamp,theta,distance_mm,quality,x,y
2025-04-29T17:43:51.516163,14.26,818.0,47,792.7957292679978,201.49176572362364
2025-04-29T17:43:51.516194,15.28,1185.0,47,1143.1096204833411,312.29056271112586
2025-04-29T17:43:51.516198,15.39,1186.0,47,1143.4721010733201,314.7499866036006
2025-04-29T17:43:51.516201,15.51,1190.0,47,1146.6647179973472,318.213803126238
2025-04-29T17:43:51.516205,15.62,1194.0,47,1149.9039530490015,321.4916775941167
2025-04-29T17:43:51.516208,15.73,1198.0,47,1153.1348142316606,324.78315874890035
2025-04-29T17:43:51.516260,17.44,1564.0,47,1492.1049940731975,468.74159903066374
2025-04-29T17:43:51.516287,18.34,1226.0,47,1163.7266028370818,385.7672793916884
2025-04-29T17:43:51.516291,18.47,1225.0,47,1161.8998402791979,388.08988798881967
2025-04-29T17:43:51.516304,18.58,1225.0,47,1161.1526203339301,390.31985895115247
2025-04-29T17:43:51.516308,18.68,1225.0,47,1160.4696154762023,392.3458570655677
2025-04-29T17:43:51.516312,18.79,1223.0,47,1157.8208163143645,393.92887341389263
2025-04-29T17:43:51.516315,18.92,1218.0,47,1152.1941794066558,394.9336310589701
2025-04-29T17:43:51.516319,19.03,1215.0,47,1148.5977943761582,396.16676634243885
2025-04-29T17:43:51.516373,20.82,852.0,47,796.3658174995614,302.8291345268073
2025-04-29T17:43:51.516377,20.95,849.0,47,792.874992301738,303.56259088122
2025-04-29T17:43:51.516383,21.17,843.0,47,786.1084755127284,304.4379488944404
2025-04-29T17:43:51.516390,21.39,836.0,47,778.4158892041187,304.90113714868517
2025-04-29T17:43:51.516397,21.62,827.0,47,768.8188377259438,304.7073920300079
2025-04-29T17:43:51.516439,22.97,688.0,47,633.448007758688,268.4913806187251
2025-04-29T17:43:51.516442,23.09,689.0,47,633.8041817898132,270.20965775809253
2025-04-29T17:43:51.516446,23.2,691.0,47,635.1225194253669,272.2138595273472
2025-04-29T17:43:51.516449,23.31,695.0,47,638.2722454905559,275.0155279915001
2025-04-29T17:43:51.516453,23.42,702.0,47,644.1663891834821,279.02269270852275
2025-04-29T17:43:51.516460,23.65,706.0,47,646.7051852314012,283.21088149084096
2025-04-29T17:43:51.516518,25.56,508.0,47,458.28405135904706,219.17967120592715
2025-04-29T17:43:51.516566,27.14,540.0,47,480.5430609725805,246.3297922523842
2025-04-29T17:43:51.516573,27.36,570.0,47,506.2377758237204,261.96052055424803
2025-04-29T17:43:51.516590,27.93,584.0,47,515.9759728627992,273.54121339989695
2025-04-29T17:43:51.516594,28.04,605.0,47,533.9848729652688,284.4031565300668
2025-04-29T17:43:51.516597,28.15,612.0,47,539.6098828014937,288.730279643404
2025-04-29T17:43:51.516601,28.26,614.0,47,540.8161825627242,290.71267030915965
2025-04-29T17:43:51.516604,28.37,613.0,47,539.3771604679268,291.2752628795591
2025-04-29T17:43:51.516624,29.06,621.0,47,542.823263993362,301.6353826519575
2025-04-29T17:43:51.516679,30.86,703.0,47,603.4715208599827,360.59828550748745
2025-04-29T17:43:51.516683,30.98,704.0,47,603.5723095990367,362.3761403366461
2025-04-29T17:43:51.516686,31.09,702.0,47,601.162770988981,362.50147968918685
2025-04-29T17:43:51.516689,31.2,695.0,47,594.4781608115521,360.02877151432546
