X,Y
1042.275395468971,-1042.275395468971
1043.2623167906058,-1034.197630225818
1052.757662951572,-1034.54207410658
1058.694272381639,-1031.3342996460033
1067.5002637025589,-1030.8730217611514
1060.4302963037212,-1015.1411658883715
1069.9271972431243,-1015.3229991482871
1086.7294870645417,-1022.2930215669272
1116.0457486708542,-1040.7294974553727
1181.524917682018,-1092.1903995625032
1192.9147309587806,-1093.1049559221383
1212.477292823431,-1101.3368305779863
1205.3809069243334,-1085.329843514068
1219.8038082258788,-1088.716523911364
1239.5217179057986,-1096.6361797970455
1226.2507259982121,-1075.3930244282124
815.8410562208162,-709.1998103387388
809.079403322165,-697.1474156301875
807.5511354672328,-689.7138273266551
812.8425803183932,-688.1220383197565
825.0298652391393,-692.2822556324028
823.4296021506751,-684.8391711212063
822.5518058913099,-678.059382816096
825.5025585916098,-674.4638802476421
833.8776166433298,-675.2607795964756
834.4763969093835,-669.7381152369433
848.3472420280167,-674.8058661151796
851.2835530747275,-671.09784105186
849.4755923880463,-663.6830704010597
857.8981875120702,-664.2557488373773
856.8216075145339,-657.4623433294186
859.6821627373918,-653.7175070863259
861.7277153410289,-649.3584099810603
860.5465948301992,-642.6006210128877
866.5576957453602,-641.2189641179459
874.1859510259513,-640.979658826123
879.4014728855678,-638.9225692419183
891.9198061795487,-642.0903825355401
877.6165287881122,-625.997786256393
881.1562380194515,-622.7396600501751
884.6842078321113,-619.4625512591294
889.0219868534211,-616.7364971291998
887.583905145911,-610.0195171680447
801.7920566533729,-545.9207798642165
609.3426158279556,-411.006784050999
566.2308059780332,-378.34332868634925
548.6968709201967,-363.17453633533427
542.7497151451959,-355.84230595842416
535.0718223491805,-347.47970433958744
544.152241387962,-350.0104829750921
537.2403509828083,-342.2598505169267
538.728622425431,-339.9124466382445
534.2703005785484,-333.8491364669191
529.7694361722358,-327.83127443511455
467.2468100660425,-286.32921346433994
398.38893173359315,-241.7483383028029
360.8674335955893,-216.8310295371328
323.1368107245462,-192.2462003649716
306.7399811171831,-180.68365721401076
270.38051312897585,-157.68125481524973
230.36275740666073,-132.99999999999994
171.03516645436102,-97.75465122401602
142.73833413414354,-80.75746385696861
115.16947293360921,-64.49800387759808
95.33354807819414,-52.84424860685074
88.54940232645829,-48.579865660858125
87.00289415353456,-47.238717265701254
81.04194791489547,-43.5454093810056
81.23117854302129,-43.191383776301926
76.99392445928464,-40.50846326828469
80.71798581921817,-42.01912380438809
88.90171414857365,-45.78739151169565
88.20964589464842,-44.94505947421513
96.44172588840281,-48.61063163204296
83.22889562898834,-41.49639661921221
80.71854673794195,-39.805982119710116
80.89146416692502,-39.45340321101698
83.76493625700067,-40.40340893861079
86.64818729758662,-41.32906529359636
91.34996969089117,-43.08344273004729
96.06862542588489,-44.79753574451414
79.00845612278208,-36.42339716575622
76.43674675362963,-34.83423238312406
87.5291561834005,-39.42900985089381
96.83581851011569,-43.11408416603482
97.02301678666139,-42.69114912502615
88.03776714097192,-38.279910616823614
80.85362649310305,-34.73745936181552
84.68644651762452,-35.94726382101319
80.2314845353293,-33.643853662403416
78.52976026345937,-32.52809175103263
83.29864536158098,-34.078375561718964
83.44654691101087,-33.71459340743208
81.73524065272933,-32.60905450086559
77.22465814250803,-30.419601818116675
75.49263741190668,-29.357481100979815
75.62001454627334,-29.027803913169322
81.35676324268302,-30.82332030580128
82.42715265385898,-30.818249550833155
83.49902889710108,-30.804418079896873
80.81356538758813,-29.41373232600751
95.05877754089344,-34.129588518336
82.00980972501951,-29.04119675333809
78.35938869260109,-27.364323556811346
79.42356035034261,-27.34772497440114
81.43599113657909,-27.643794016071897
81.55583434773314,-27.288200450837923
81.67412485336142,-26.93208735760248
77.98663433620258,-25.339393538745686
80.95364296967865,-25.913465417380916
85.83452556734044,-27.063521955384562
91.68191466788991,-28.467991197654836
81.28590425685802,-24.851594901432627
84.26627975082366,-25.36127159579988
89.17023534274196,-26.413427057464805
86.40448689473358,-25.18461126278929
93.24238450601693,-26.73682351424892
90.47079222664284,-25.51540228731698
79.01769716310709,-21.913546838417062
73.32383661098979,-19.990372298806065
73.41036279796919,-19.670247427791598
81.23185886877121,-21.38656364926432
81.32440179176105,-21.03192034057308
84.32308914448764,-21.415336493522396
74.71277092325172,-18.627985961174414
76.73602351524765,-18.777185493767675
77.78959363181413,-18.675629108472414
92.47102955374261,-21.774037137629342
77.94960518281881,-17.996084347509182
62.42190851254481,-14.124635841376085
62.482944455675735,-13.852135292038584
87.95079958164109,-19.095990494080162
87.0551364653087,-18.50414048278056
87.13504705112796,-18.124115851475796
84.27352459739134,-17.14564235987896
86.30910467548429,-17.167948337419265
83.43831059305144,-16.218764607006307
82.52583340894282,-15.66801902473369
88.4929416807559,-16.401197294293294
88.56366278816618,-16.01491909264576
84.69346675904988,-14.933743279356008
84.75782107899468,-14.564057331016098
83.83427613066468,-14.0290464981576
83.89469115761972,-13.663118076325219
83.9535089505867,-13.296929528419644
93.89434349443727,-14.451721688042086
93.9565070193821,-14.041894057312986
88.07897342695065,-12.77084335721496
88.13385811799976,-12.386405985445824
88.18706486743253,-12.001732794361347
92.20437210776437,-12.138935876464776
93.2484652698932,-11.862703098767998
95.2844305575669,-11.699456966894157
83.4177503842138,-9.873141386458384
82.46646402115675,-9.395866742736258
85.48884508711949,-9.362551237268953
82.54531731556668,-8.675862451215238
83.57735553307658,-8.415797175414387
85.60407305957739,-8.242734716739262
93.60566319201821,-8.6011521543598
92.64610692253234,-8.105484075532209
92.68059173229182,-7.701163298635004
93.71022937091404,-7.3751549984174245
93.74151739935165,-6.966198078367528
93.77102072442348,-6.557108531947779
95.79445663090593,-6.2787004060937335
88.83399705954615,-5.433320018602283
83.86490032681729,-4.762194155323711
92.87254673217537,-4.867243930593753
94.89059671607032,-4.557922209527675
93.91053282869463,-4.100222412341584
93.92752940662795,-3.6904226813524494
88.94578360469953,-3.106055206522564
96.95475831116116,-2.9622357813527977
93.96778854770238,-2.460633140940076
89.97858243719182,-1.9633396531105234
88.98644486891882,-1.5532641729182326
94.99186111953067,-1.2435115792777218
98.99623038335297,-0.8639270143390195
97.99906711063198,-0.42760430990516396
90.0,0.0
93.99910518774904,0.410151072766201
93.99642076803211,0.8202943368471498
