timestamp,theta,distance_mm,quality,x,y
2025-04-27T17:52:40.553919,0.67,1512.0,47,1511.8966236516403,17.68048050169204
2025-04-27T17:52:40.554006,3.53,229.0,47,228.5655175352813,14.099794105908611
2025-04-27T17:52:40.554010,3.65,229.0,47,228.53548571705855,14.578469332139358
2025-04-27T17:52:40.554014,3.76,230.0,47,229.50492339941601,15.082776118081929
2025-04-27T17:52:40.554018,3.87,230.0,47,229.47554360319285,15.5233658727462
2025-04-27T17:52:40.554021,4.0,232.0,47,231.43485966027922,16.18350190863707
2025-04-27T17:52:40.554025,4.11,234.0,47,233.39821964495675,16.771137903091706
2025-04-27T17:52:40.554028,4.22,234.0,47,233.36559125370115,17.219199133829935
2025-04-27T17:52:40.554031,4.34,235.0,47,234.32614819140133,17.783595637030817
2025-04-27T17:52:40.554035,4.45,234.0,47,233.29458888931464,18.155847404229437
2025-04-27T17:52:40.554038,4.56,232.0,47,231.26563298937086,18.444701082577062
2025-04-27T17:52:40.554041,4.69,232.0,47,231.22318804457026,18.969378231911175
2025-04-27T17:52:40.554045,4.8,232.0,47,231.186343345885,19.413259653097192
2025-04-27T17:52:40.554049,4.91,231.0,47,230.15231615152365,19.77147870264414
2025-04-27T17:52:40.554052,5.03,230.0,47,229.11425318640852,20.16578753320295
2025-04-27T17:52:40.554055,5.14,229.0,47,228.07913667203783,20.5160282447135
2025-04-27T17:52:40.554059,5.26,227.0,47,226.04408991631036,20.810319889588477
2025-04-27T17:52:40.554062,5.37,226.0,47,225.00810930714863,21.150667744122313
2025-04-27T17:52:40.554066,5.48,226.0,47,224.96708828978902,21.582613058067697
2025-04-27T17:52:40.554069,5.61,226.0,47,224.91753986722324,22.092991198025665
2025-04-27T17:52:40.554073,5.72,226.0,47,224.87470988673076,22.524760894595033
2025-04-27T17:52:40.554076,5.82,225.0,47,223.8402089060082,22.815803227469623
2025-04-27T17:52:40.554079,5.95,224.0,47,222.79325263174695,23.219960847653972
2025-04-27T17:52:40.554083,6.06,224.0,47,222.74826294110133,23.647650131080216
2025-04-27T17:52:40.554087,6.17,225.0,47,223.69665960541846,24.182731057048606
2025-04-27T17:52:40.554090,6.3,226.0,47,224.63517593287062,24.799954306576232
2025-04-27T17:52:40.554094,6.41,226.0,47,224.58714947986186,25.231176914884273
2025-04-27T17:52:40.554097,6.51,225.0,47,223.5492186425285,25.509740185172213
2025-04-27T17:52:40.554101,6.64,224.0,47,222.4974712261609,25.901260547774434
2025-04-27T17:52:40.554104,6.75,223.0,47,221.45426590094857,26.210839633097795
2025-04-27T17:52:40.554107,6.86,221.0,47,219.41785466378028,26.397065267642883
2025-04-27T17:52:40.554114,6.98,221.0,47,219.3620875829552,26.85655471664005
2025-04-27T17:52:40.554121,7.09,220.0,47,218.31776896569068,27.154221657843696
2025-04-27T17:52:40.554133,7.43,212.0,47,210.2199609174733,27.41474114150998
2025-04-27T17:52:40.554137,7.78,202.0,47,200.14062106403998,27.344685042990623
