Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.0,-0.065,0.995,0.028,-0.071,-0.017,-0.07,-3.83,-3.66,42,-50,-7
0.002,-0.07,0.997,0.028,-0.009,0.06,-0.07,-3.82,-3.66,42,-50,-7
0.002,-0.067,0.996,-0.003,-0.039,0.014,-0.07,-3.82,-3.66,42,-50,-7
0.002,-0.068,0.996,0.088,-0.132,0.045,-0.07,-3.82,-3.66,42,-50,-7
0.001,-0.066,0.996,0.028,-0.025,-0.002,-0.07,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.998,0.012,-0.07,-0.001,-0.07,-3.82,-3.66,42,-50,-7
0.002,-0.068,0.997,-0.003,-0.055,-0.032,-0.07,-3.82,-3.66,42,-50,-7
0.0,-0.068,0.997,-0.002,0.022,0.014,-0.07,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.995,-0.062,0.038,-0.017,-0.08,-3.82,-3.66,42,-49,-7
0.001,-0.068,0.998,-0.017,0.037,0.013,-0.08,-3.82,-3.66,42,-50,-7
0.001,-0.068,0.995,-0.035,-0.146,-0.016,-0.08,-3.82,-3.66,41,-50,-7
-0.001,-0.068,0.997,-0.033,-0.024,0.014,-0.08,-3.82,-3.66,42,-50,-7
-0.0,-0.067,0.996,-0.034,-0.1,-0.032,-0.08,-3.82,-3.66,42,-50,-7
0.002,-0.067,0.997,-0.002,0.022,0.044,-0.08,-3.82,-3.66,42,-50,-7
-0.001,-0.066,0.995,0.074,-0.025,0.044,-0.08,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.995,0.03,0.097,0.013,-0.08,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.995,-0.001,0.052,0.029,-0.07,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.996,-0.048,0.008,0.121,-0.08,-3.82,-3.66,42,-50,-7
0.002,-0.066,0.995,-0.016,0.083,-0.078,-0.08,-3.82,-3.66,41,-50,-7
0.0,-0.067,0.996,0.029,0.006,0.044,-0.08,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.995,-0.003,-0.07,0.014,-0.08,-3.82,-3.66,41,-50,-7
-0.002,-0.068,0.999,0.013,0.006,0.029,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.069,0.996,0.046,0.113,0.044,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.067,0.996,-0.032,0.007,0.014,-0.08,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.994,0.013,-0.04,-0.063,-0.08,-3.83,-3.66,41,-50,-7
0.0,-0.069,0.996,-0.017,0.037,-0.032,-0.08,-3.83,-3.66,42,-50,-8
0.0,-0.067,0.996,0.043,-0.071,-0.001,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.069,0.996,0.044,0.021,0.044,-0.08,-3.83,-3.66,42,-50,-7
0.004,-0.067,0.996,-0.019,-0.1,-0.001,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.068,0.999,0.076,0.066,-0.063,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.066,0.997,0.028,-0.009,0.09,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.068,0.997,0.029,-0.01,-0.017,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.067,0.997,0.013,-0.055,-0.001,-0.08,-3.83,-3.66,42,-49,-7
0.0,-0.069,0.996,-0.002,-0.009,-0.002,-0.08,-3.83,-3.66,42,-50,-8
0.002,-0.068,0.998,0.015,0.082,-0.002,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.067,0.997,-0.046,0.114,0.105,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.065,0.997,0.028,-0.071,-0.001,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.997,-0.002,-0.024,-0.002,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.067,0.997,-0.016,0.067,-0.048,-0.08,-3.83,-3.66,41,-50,-7
0.002,-0.068,0.996,-0.001,0.052,0.029,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.065,0.997,0.028,-0.025,-0.093,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.066,0.996,-0.003,-0.055,0.029,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.067,0.998,0.058,-0.008,-0.002,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.997,-0.064,-0.022,-0.002,-0.08,-3.83,-3.66,41,-50,-7
0.004,-0.066,0.998,0.012,-0.007,0.013,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.068,0.997,0.013,0.038,0.028,-0.08,-3.83,-3.66,42,-50,-7
0.0,-0.069,0.997,-0.08,-0.052,-0.063,-0.08,-3.83,-3.66,42,-50,-7
-0.0,-0.067,0.998,0.012,0.008,0.013,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.065,0.996,0.013,0.023,0.044,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.997,-0.051,-0.129,-0.047,-0.08,-3.83,-3.66,42,-50,-7
0.0,-0.067,0.998,-0.018,0.024,-0.002,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.066,0.995,0.011,-0.053,-0.048,-0.09,-3.83,-3.66,42,-50,-7
0.001,-0.067,0.995,-0.034,-0.022,-0.048,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.066,0.995,-0.018,-0.007,-0.048,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.065,0.998,-0.048,0.07,0.013,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.066,0.996,-0.034,-0.007,-0.048,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.068,0.997,0.028,0.023,-0.017,-0.08,-3.83,-3.66,41,-50,-7
0.001,-0.065,0.998,-0.079,0.024,-0.033,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.995,0.029,0.069,0.059,-0.08,-3.83,-3.66,42,-50,-7
0.0,-0.067,0.995,-0.078,0.055,-0.018,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.069,0.996,-0.035,-0.083,0.044,-0.08,-3.83,-3.66,42,-50,-7
0.0,-0.064,0.996,0.014,0.1,0.028,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.996,0.056,-0.146,-0.062,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.065,0.996,-0.048,0.055,0.059,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.066,0.995,0.013,0.053,-0.033,-0.08,-3.84,-3.66,42,-49,-7
0.003,-0.067,0.998,-0.051,-0.113,-0.017,-0.08,-3.84,-3.66,42,-49,-7
0.001,-0.068,0.995,0.012,-0.007,0.044,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.997,0.012,-0.038,-0.093,-0.08,-3.83,-3.66,42,-50,-7
0.004,-0.067,0.995,0.042,-0.038,0.044,-0.08,-3.83,-3.66,42,-49,-7
0.0,-0.065,0.999,-0.035,-0.068,-0.002,-0.08,-3.84,-3.66,42,-50,-7
0.0,-0.068,0.997,0.013,0.038,0.028,-0.08,-3.84,-3.66,42,-50,-7
0.001,-0.068,0.996,0.043,0.007,-0.002,-0.08,-3.83,-3.66,42,-50,-7
0.002,-0.068,0.997,-0.002,0.038,-0.033,-0.08,-3.83,-3.66,42,-50,-7
0.001,-0.066,0.996,-0.004,-0.068,0.029,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.066,0.995,-0.05,-0.098,-0.017,-0.08,-3.83,-3.66,42,-50,-7
0.0,-0.065,0.998,-0.004,-0.053,-0.032,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.066,0.995,0.027,-0.008,0.013,-0.08,-3.84,-3.66,42,-50,-7
0.003,-0.066,0.997,0.043,-0.008,-0.017,-0.08,-3.84,-3.66,41,-50,-7
0.004,-0.066,0.998,-0.004,-0.068,-0.002,-0.08,-3.84,-3.66,42,-50,-7
0.002,-0.068,0.996,-0.035,-0.098,-0.002,-0.08,-3.84,-3.66,42,-49,-7
0.002,-0.068,0.997,-0.034,-0.022,-0.063,-0.08,-3.84,-3.66,42,-49,-7
0.001,-0.066,0.997,0.027,-0.008,-0.017,-0.08,-3.84,-3.66,42,-49,-7
0.002,-0.067,0.997,-0.003,0.008,0.044,-0.08,-3.84,-3.66,42,-49,-7
0.002,-0.068,0.997,-0.048,0.055,-0.002,-0.08,-3.83,-3.66,42,-50,-7
0.003,-0.068,0.997,-0.004,-0.038,0.044,-0.08,-3.83,-3.66,41,-50,-7
0.001,-0.068,0.996,-0.049,-0.007,-0.033,-0.08,-3.83,-3.66,42,-49,-7
0.001,-0.065,0.998,0.072,-0.07,-0.017,-0.08,-3.83,-3.66,42,-49,-7
0.003,-0.065,1.0,0.073,-0.008,0.029,-0.09,-3.83,-3.66,42,-50,-7
0.001,-0.065,0.995,-0.034,-0.022,-0.002,-0.09,-3.83,-3.66,42,-50,-7
0.003,-0.066,0.997,0.057,-0.084,0.014,-0.09,-3.84,-3.66,42,-50,-7
0.001,-0.066,0.996,0.042,-0.054,-0.063,-0.09,-3.84,-3.66,42,-50,-7
-0.0,-0.069,0.995,-0.003,-0.022,0.044,-0.09,-3.84,-3.66,42,-50,-7
0.001,-0.066,0.996,0.012,0.008,-0.002,-0.09,-3.84,-3.66,42,-50,-7
0.002,-0.065,0.997,0.012,0.008,0.044,-0.09,-3.84,-3.66,42,-50,-7
-0.0,-0.068,0.996,-0.078,0.101,0.028,-0.09,-3.84,-3.66,42,-50,-7
0.002,-0.067,0.996,-0.002,0.084,-0.018,-0.09,-3.84,-3.66,42,-50,-7
0.002,-0.069,0.997,0.028,0.008,0.044,-0.09,-3.84,-3.66,42,-50,-7
0.002,-0.067,0.996,-0.019,-0.038,-0.002,-0.09,-3.84,-3.66,42,-50,-7
