Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.002,-0.068,0.996,0.053,-0.108,-0.029,-0.09,-3.83,-3.66,42,-50,-7
0.001,-0.068,0.995,-0.021,0.046,0.016,-0.09,-3.83,-3.66,42,-50,-7
-0.0,-0.065,0.998,-0.052,0.016,-0.014,-0.09,-3.83,-3.66,42,-50,-7
0.001,-0.065,0.998,0.009,0.015,0.016,-0.09,-3.83,-3.66,42,-50,-7
0.0,-0.067,0.997,-0.009,-0.123,-0.044,-0.09,-3.83,-3.66,42,-50,-7
0.002,-0.065,0.994,0.008,-0.061,0.093,-0.09,-3.83,-3.66,42,-50,-7
0.003,-0.069,0.996,0.01,0.091,0.031,-0.09,-3.82,-3.66,42,-50,-7
0.002,-0.066,0.998,-0.023,-0.031,0.016,-0.09,-3.83,-3.66,42,-50,-7
0.002,-0.067,0.997,0.055,0.06,0.031,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.065,0.995,0.07,0.044,0.001,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.068,0.996,-0.022,0.015,0.031,-0.08,-3.82,-3.66,42,-50,-7
0.002,-0.066,0.996,-0.007,-0.001,-0.045,-0.08,-3.82,-3.66,42,-50,-7
0.002,-0.065,0.995,-0.054,-0.06,0.093,-0.09,-3.82,-3.66,42,-50,-7
-0.0,-0.068,0.996,0.007,-0.108,-0.075,-0.09,-3.82,-3.66,42,-49,-7
0.001,-0.067,0.995,-0.068,0.016,0.093,-0.09,-3.82,-3.66,42,-50,-8
0.003,-0.067,0.996,-0.007,-0.016,-0.06,-0.09,-3.83,-3.66,42,-49,-7
0.004,-0.065,0.997,0.009,-0.0,0.031,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.066,0.996,-0.007,-0.016,-0.014,-0.09,-3.83,-3.66,42,-50,-7
0.0,-0.067,0.997,-0.006,0.046,0.108,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.996,0.101,0.028,-0.091,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.995,-0.036,0.061,0.016,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.066,0.997,-0.051,0.123,0.046,-0.09,-3.82,-3.66,41,-50,-8
0.002,-0.065,0.995,0.025,0.06,0.031,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.995,-0.023,-0.077,-0.06,-0.09,-3.82,-3.66,42,-50,-7
0.002,-0.066,0.999,0.056,0.09,0.031,-0.09,-3.83,-3.66,42,-50,-7
0.002,-0.066,0.996,-0.005,0.106,-0.015,-0.09,-3.82,-3.66,41,-49,-7
0.003,-0.068,0.998,0.007,-0.077,0.032,-0.09,-3.82,-3.66,42,-50,-7
0.002,-0.067,0.995,-0.007,0.015,0.001,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.068,0.996,0.009,0.015,0.016,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.997,0.009,0.014,-0.06,-0.09,-3.82,-3.66,42,-50,-7
0.002,-0.067,0.996,0.008,-0.031,0.062,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.068,0.993,-0.007,0.015,-0.014,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.997,-0.006,0.076,0.016,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.066,0.997,-0.038,-0.016,-0.091,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.997,-0.006,0.076,0.046,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.067,0.998,0.024,0.014,0.001,-0.09,-3.82,-3.66,42,-50,-7
-0.0,-0.067,0.998,0.055,0.029,0.001,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.067,0.996,-0.038,-0.015,-0.014,-0.09,-3.82,-3.66,42,-50,-7
0.002,-0.067,0.996,0.038,-0.062,0.032,-0.09,-3.82,-3.66,42,-50,-7
0.001,-0.064,0.996,-0.068,-0.015,0.001,-0.09,-3.82,-3.66,42,-49,-7
-0.001,-0.066,0.997,-0.067,0.046,0.001,-0.09,-3.82,-3.66,42,-50,-7
0.003,-0.066,0.995,0.023,-0.062,0.032,-0.09,-3.82,-3.66,42,-50,-7
