Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.016,-0.029,0.999,0.03,-0.041,0.013,-0.9,-1.53,-0.02,32,-38,-17
0.015,-0.027,0.998,0.016,0.051,0.028,-0.9,-1.53,-0.02,32,-38,-17
0.015,-0.027,1.0,0.107,0.018,-0.002,-0.9,-1.53,-0.02,32,-38,-17
0.017,-0.027,0.997,-0.001,-0.087,0.029,-0.9,-1.53,-0.02,32,-38,-17
0.017,-0.029,0.997,-0.075,0.082,0.013,-0.91,-1.53,-0.02,32,-38,-17
0.014,-0.028,0.998,-0.061,-0.009,0.013,-0.91,-1.53,-0.02,33,-38,-17
0.016,-0.027,0.999,0.091,-0.043,-0.094,-0.91,-1.53,-0.02,33,-38,-17
0.016,-0.025,1.0,-0.0,-0.026,0.029,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.027,0.999,-0.031,-0.071,-0.017,-0.91,-1.53,-0.02,32,-38,-17
0.014,-0.028,0.999,-0.077,-0.024,0.044,-0.91,-1.53,-0.02,33,-38,-17
0.016,-0.027,0.997,0.047,0.05,-0.048,-0.91,-1.53,-0.02,32,-38,-17
0.015,-0.024,0.999,0.107,0.018,-0.017,-0.91,-1.53,-0.02,32,-38,-17
0.015,-0.027,1.001,-0.03,0.051,-0.018,-0.91,-1.53,-0.02,33,-38,-17
0.017,-0.027,1.001,-0.045,0.067,0.059,-0.91,-1.53,-0.02,33,-38,-17
0.015,-0.026,0.999,-0.093,-0.086,-0.048,-0.91,-1.53,-0.02,33,-38,-17
0.016,-0.026,1.0,0.078,0.095,-0.018,-0.91,-1.53,-0.02,33,-38,-17
0.015,-0.025,0.998,-0.031,-0.01,-0.002,-0.91,-1.53,-0.02,33,-38,-17
0.016,-0.027,0.997,-0.015,0.02,0.028,-0.91,-1.53,-0.02,32,-38,-17
0.014,-0.028,1.0,-0.076,0.022,0.044,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.026,1.001,0.078,0.065,0.013,-0.91,-1.53,-0.02,32,-38,-17
0.014,-0.027,0.999,0.015,-0.057,-0.032,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.027,0.999,-0.015,0.036,0.089,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.029,0.999,-0.123,-0.07,-0.048,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.024,1.001,0.045,-0.087,0.029,-0.91,-1.53,-0.02,32,-38,-17
0.017,-0.028,0.997,0.061,0.004,-0.002,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.028,0.999,0.045,-0.057,0.013,-0.91,-1.53,-0.02,32,-38,-17
0.015,-0.026,0.999,-0.165,0.16,0.043,-0.91,-1.53,-0.02,32,-38,-17
0.018,-0.027,0.998,-0.018,-0.07,-0.032,-0.91,-1.53,-0.02,33,-38,-17
0.018,-0.028,0.999,0.107,0.111,0.028,-0.91,-1.53,-0.02,32,-38,-17
0.016,-0.025,0.998,0.03,0.082,-0.002,-0.9,-1.53,-0.02,32,-38,-17
0.014,-0.028,0.999,0.014,0.021,0.013,-0.9,-1.53,-0.02,33,-38,-17
0.015,-0.026,0.999,-0.092,0.069,0.059,-0.9,-1.53,-0.02,32,-38,-17
0.015,-0.028,0.998,0.013,-0.04,0.044,-0.9,-1.53,-0.02,32,-38,-17
0.016,-0.024,1.001,0.09,0.004,-0.002,-0.9,-1.53,-0.02,33,-38,-17
0.017,-0.027,0.998,0.044,-0.056,-0.032,-0.9,-1.53,-0.02,32,-38,-17
0.015,-0.026,0.998,-0.048,-0.054,0.075,-0.9,-1.53,-0.02,33,-38,-17
0.016,-0.024,0.998,-0.017,-0.009,-0.002,-0.9,-1.54,-0.02,32,-38,-17
0.016,-0.027,1.001,0.075,-0.011,-0.032,-0.91,-1.54,-0.02,32,-38,-17
0.016,-0.028,0.997,0.058,-0.133,-0.001,-0.9,-1.54,-0.02,32,-37,-17
0.015,-0.027,0.996,-0.093,0.023,0.013,-0.9,-1.54,-0.02,32,-38,-17
0.016,-0.027,1.0,-0.062,0.053,-0.017,-0.9,-1.54,-0.02,32,-38,-17
0.016,-0.026,0.997,0.105,-0.011,0.014,-0.9,-1.54,-0.02,32,-38,-17
0.016,-0.026,1.0,0.045,0.005,-0.017,-0.9,-1.54,-0.02,32,-38,-17
0.017,-0.03,0.998,0.014,0.036,0.059,-0.9,-1.54,-0.02,33,-38,-17
0.015,-0.026,0.997,-0.214,0.055,0.028,-0.9,-1.54,-0.02,32,-38,-17
