Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.013,-0.03,0.999,-0.014,0.026,0.012,-0.78,-1.75,139.39,-30,-33,-8
0.014,-0.031,0.998,-0.014,0.072,0.073,-0.78,-1.75,139.39,-30,-33,-8
0.014,-0.032,0.999,-0.03,-0.035,-0.034,-0.78,-1.75,139.39,-30,-33,-8
0.014,-0.031,0.997,-0.014,0.026,-0.004,-0.78,-1.75,139.39,-30,-32,-8
0.013,-0.03,0.998,-0.03,0.012,0.088,-0.78,-1.75,139.39,-30,-33,-9
0.014,-0.032,0.998,-0.029,0.057,0.012,-0.77,-1.76,139.39,-30,-32,-9
0.015,-0.028,1.001,-0.045,0.012,0.027,-0.77,-1.76,139.39,-30,-32,-8
0.013,-0.031,0.999,0.002,0.087,0.011,-0.77,-1.76,139.39,-30,-32,-8
0.012,-0.03,0.999,0.047,0.056,0.042,-0.77,-1.76,139.39,-30,-32,-8
0.013,-0.029,0.999,-0.061,-0.019,0.027,-0.77,-1.76,139.39,-30,-32,-8
0.013,-0.029,0.998,-0.091,-0.003,-0.065,-0.77,-1.76,139.39,-30,-32,-8
0.012,-0.029,0.999,-0.013,0.103,0.057,-0.77,-1.76,139.39,-30,-32,-8
0.013,-0.029,0.998,-0.061,-0.003,0.073,-0.78,-1.76,139.4,-30,-32,-8
0.014,-0.033,0.997,0.017,0.072,0.073,-0.77,-1.76,139.4,-31,-32,-8
0.013,-0.032,0.998,0.016,0.026,-0.004,-0.77,-1.76,139.4,-30,-33,-8
0.012,-0.031,0.997,-0.045,-0.019,0.012,-0.77,-1.76,139.4,-30,-32,-8
0.014,-0.031,0.999,0.061,-0.052,-0.064,-0.77,-1.75,139.4,-30,-33,-8
0.013,-0.032,0.998,-0.014,0.026,0.027,-0.77,-1.76,139.4,-30,-32,-8
0.013,-0.03,0.998,0.014,-0.096,0.027,-0.78,-1.76,139.4,-30,-33,-8
0.014,-0.03,0.997,0.03,-0.066,-0.003,-0.78,-1.75,139.4,-30,-33,-8
0.014,-0.031,0.999,0.0,-0.035,0.027,-0.78,-1.75,139.4,-30,-32,-8
0.014,-0.031,0.997,-0.089,0.104,-0.035,-0.78,-1.75,139.4,-30,-32,-8
0.012,-0.03,0.998,-0.002,-0.142,0.043,-0.78,-1.75,139.4,-30,-32,-8
0.012,-0.029,0.997,0.014,-0.127,0.012,-0.78,-1.75,139.4,-30,-32,-8
0.012,-0.032,0.996,0.032,0.025,-0.004,-0.78,-1.75,139.4,-30,-32,-8
0.012,-0.029,0.998,-0.013,0.118,0.057,-0.78,-1.75,139.4,-30,-32,-8
0.014,-0.031,0.999,0.015,-0.036,-0.034,-0.78,-1.75,139.4,-30,-32,-8
0.012,-0.034,0.998,-0.044,0.057,-0.019,-0.78,-1.75,139.4,-30,-32,-8
0.014,-0.027,1.0,-0.045,0.042,0.057,-0.78,-1.76,139.4,-30,-32,-9
0.013,-0.029,0.997,-0.015,-0.02,-0.049,-0.78,-1.76,139.4,-30,-32,-8
0.014,-0.031,0.998,0.017,-0.065,0.023,-0.77,-1.76,139.4,-30,-32,-8
0.013,-0.03,0.998,-0.057,0.028,0.007,-0.77,-1.76,139.4,-30,-32,-8
0.014,-0.031,1.0,0.049,-0.02,0.038,-0.77,-1.76,139.4,-30,-32,-9
0.013,-0.034,0.998,-0.088,0.044,0.053,-0.77,-1.76,139.4,-30,-32,-8
0.012,-0.031,1.001,0.034,-0.004,0.053,-0.77,-1.75,139.4,-30,-32,-9
0.013,-0.031,0.999,-0.013,-0.08,-0.007,-0.77,-1.76,139.4,-30,-33,-8
0.012,-0.031,0.998,0.05,0.071,-0.084,-0.77,-1.75,139.4,-30,-32,-8
0.014,-0.031,0.998,0.005,0.087,-0.069,-0.77,-1.76,139.4,-30,-32,-8
0.013,-0.03,1.0,0.018,-0.035,0.038,-0.77,-1.75,139.4,-31,-32,-8
0.013,-0.033,0.997,0.002,-0.065,-0.007,-0.77,-1.75,139.4,-30,-33,-8
0.011,-0.032,0.997,0.003,-0.004,0.038,-0.77,-1.75,139.4,-31,-33,-9
0.012,-0.032,0.999,-0.013,-0.049,0.023,-0.77,-1.76,139.4,-30,-33,-8
